OBJECTID,rainfall_mean
20062,787.3548445699308
20068,687.886573331324
20102,843.0682444212498
7315,823.0720993578434
15635,828.2260125676792
16021,828.1739933937788
16958,870.682618200779
335,570.613556817174
519,
520,
521,
890,630.9210449268943
932,569.7995651960373
1410,595.3341867774725
1460,563.6420765224709
1477,541.605416893959
1482,555.6551185956803
1484,569.5686062944347
1510,702.232617482543
1516,1527.1293897185212
1529,1149.1046781467426
1544,548.228096811422
1559,561.4466538605867
1575,1489.416132030033
1596,1222.9976544035108
1689,1173.3043945873742
1725,828.4078047764854
2143,545.906591531827
2189,537.8657117846609
2221,555.4112735277054
2244,571.5057483537606
2291,552.9315255454608
2300,549.3697682174502
2315,584.936899960041
2325,560.980098214669
2343,546.5445040464401
2376,524.6000099927187
2392,581.3970168232918
2400,590.176063656807
2644,538.3843425994642
2741,540.3165060281754
2746,564.2474088072777
3131,595.3175047636032
3175,695.8619576245546
3592,626.6590691804886
3695,546.8366535972608
3708,850.6135452091694
3741,547.7680447164336
3762,684.5415104627609
3990,572.0723441714736
4023,546.5886025961488
4108,1467.0148783868012
4133,528.292455253601
4139,530.5969892024993
4149,537.8415130227804
4152,844.5728656892713
4180,550.8444962203503
4389,582.5856507370869
4454,764.6834193170071
4499,1675.026018857956
4622,1130.0703710900268
4650,530.2873494258978
4707,539.4095034748316
4712,1139.1879400069063
4740,556.8866083621979
4975,614.8665764911756
4976,669.2492744143192
4997,553.4876683304707
5070,595.3175047636032
5137,1150.634161046814
5199,560.2674752854763
5220,556.9802022217177
5230,531.9866736372087
5304,540.1850092253976
5347,551.1080591082573
5601,554.7378549203903
5656,520.1874019652605
5709,546.8630799126626
5817,539.0066190890478
5873,566.8232236008929
5879,582.0939046617435
5881,540.2386548519135
5888,619.7891326069831
5889,548.2399886585262
5906,561.2497179463224
5911,844.0591904844928
5916,598.6333507955075
5919,542.3405287944173
5929,559.0467964230162
5940,564.3042900717777
6034,851.080778753423
6047,918.6620237487422
6061,538.0277787031739
6098,568.9810078581663
6111,556.2145606323279
6114,553.1930727894243
6132,530.011563052384
6193,549.6741189152002
6208,564.4868436455727
6211,825.1718643903732
6212,594.9099548884801
6347,574.0502799794501
6466,583.9564306977745
6476,583.0220523048791
6485,574.751983134814
6508,1199.72600543499
6514,533.6546522354707
6519,570.9285512834788
6522,554.6207013699305
6537,829.2296179221911
6585,665.0902849225437
6596,1246.6664166914093
6631,541.4232631843342
6633,696.3234601020813
6851,622.8120864596935
6902,558.8678726304408
6907,554.1466932098072
6928,725.2265699207783
6930,581.7927904490914
6949,560.9593696395556
6968,682.4550689309835
6988,692.6635786294937
7247,826.3131575311223
7687,1208.7024708480033
7827,955.5844749440166
8137,622.376415064186
8156,1063.922652096584
8184,622.866925974918
8315,633.1612224484255
8337,664.5050920261916
8415,1042.899795523202
8510,801.0324280500412
8525,1098.9834018667254
8536,567.226409079434
8568,555.9571295512704
8601,587.5540599818191
8758,933.7755213590182
8790,791.7370365608468
11488,574.3938151568176
11683,608.7753793654698
11686,601.3383802820114
11716,597.5677499642935
11804,560.1255360501848
11889,1153.8765116035938
12032,545.8406128188975
12222,549.6102898099006
12396,576.6395613097968
12564,655.158209398221
12598,560.1090002899119
12906,1153.1670715671319
12942,592.7653047638785
13178,591.3107954663767
14536,613.3219059116857
14826,572.9031922636639
14840,1022.6183546042677
15007,1168.1769765444697
15562,983.5859584394115
15584,558.6958273276687
15624,860.3092302827706
15691,569.4050744371926
15906,555.4352009356776
15982,1080.3555192287781
15983,1121.8910114765167
15998,849.9878237994569
16014,1391.2597716434739
16266,1447.6324006988348
16523,759.6591924937239
16820,1030.3592481782478
17107,662.1604312323178
17342,603.1158076470717
17678,578.2600088187583
17724,990.553937702431
17761,614.0640417868162
17982,692.8955756063461
4325,520.4358309254497
4417,569.444445592254
4459,562.99942844284
4487,532.0224520017704
87,543.2137810942213
105,571.2653343334412
150,548.0085753543036
282,556.5453043050808
603,535.3605733733324
633,563.7403297806435
938,550.4415095662698
1215,570.8937536860124
1268,528.4833725374192
1280,540.5099607408047
1803,569.1987567854279
1826,546.9174655800065
1900,552.7031619256735
2934,533.5255301897663
3033,527.2446906151516
3076,557.4312129288304
3096,536.158010751009
3176,544.8460462391376
4889,551.5972000743586
4939,533.867063292639
4966,555.4460028260946
6728,538.2355375551714
6849,547.2990603445581
6857,559.1601292487887
6954,557.1270129084587
6964,538.6291895657778
2228,1591.2101883518865
3817,
3823,
3918,1008.7979944191763
4413,1540.4891248403057
4423,1383.581133597302
4582,1538.6546284987814
5331,1553.7439823367379
5591,1435.0597655296326
5607,1565.5633243254529
5862,1326.2610604846982
8508,1634.2392188643591
11026,1552.379313799051
11275,1579.5149363948078
11643,1557.257292482062
13717,1302.7948507070541
13720,1302.7948507070541
15729,1508.6339583685906
16129,1103.6009658606101
16224,1308.071949481964
18756,1516.6829300092613
19346,1558.211215691689
19910,1357.2886963369342
20098,1326.9791814062064
20244,1546.3696005518843
20994,1508.203925123607
21071,1755.42982339859
21150,1294.8742847120848
21661,1222.8756914125643
22050,1056.4454121168922
22078,1588.2456858538944
22146,1586.0091662406921
22203,
22305,1070.2220132901919
22319,1012.8854384467353
22434,
6933,909.1114091873169
8028,802.841043685758
646,2094.172157293377
1360,1399.0131436213844
2691,1501.3053166079292
2764,1722.5172826392309
2927,1919.6447136989236
4820,1680.2673876081546
6280,1739.7077932976322
6283,1710.7815471876145
6367,1593.7872947801313
6991,2019.2693600654602
7047,1273.3603839925838
7551,1566.6139941639372
7868,1325.2500381783436
7902,1531.7990005016327
7987,1457.970170579123
8527,1940.1132694079877
8618,1713.562432363298
8801,1608.4836127806684
9886,1626.969058782351
11039,1969.1134481430054
11413,1586.311062043713
11571,1676.8709121147792
11615,1999.358501060035
13830,2185.2897420922914
15386,1887.2388082674292
16107,1462.732802340462
16223,1420.3628856142361
16368,1510.9676352741872
17047,891.331080613313
17211,1944.1432453393936
17592,1485.8224307894707
17756,878.5493857215862
18022,1914.8075130728428
18089,993.6744951556104
18127,1504.673404172565
18164,1152.282680886651
18175,1109.9217615314558
18203,711.2494248814053
18277,1730.0736871507704
18461,1709.0560905813602
19274,1413.0569712570796
19275,1407.3897354204225
19534,1520.066692704313
19769,1840.3830068958378
20081,1208.5193025986748
20123,1680.9937980476752
20146,1422.657433277448
20489,1457.3935302312832
20567,663.8728200978246
20615,
20716,1914.9560132452643
20819,1469.7496357286955
20830,1162.5036417945632
20869,1044.230787444376
21081,1445.6580427946249
21134,1796.7133532036985
21144,1461.6624645888805
21173,1636.544171420365
21217,1563.665429007272
21222,1494.7197968182356
21261,1401.4887606378966
21262,1402.241636988418
21267,1421.6028973515388
21399,1668.5743706071746
21875,1670.7443773724092
21892,1972.9691806668668
21894,1599.6627155626477
21901,1804.5515664951452
22107,678.5243023139044
22168,1306.7868956451616
22233,1606.011100218778
22262,1599.821307479634
22463,1506.549692909277
22799,1463.5636610983893
22814,1544.14886029273
22942,1810.1386860434068
23102,1558.5186912612335
23109,1736.1764066135793
23121,1517.3111155723398
23132,1643.868978957653
23135,1437.22457993813
23142,1773.4834939127597
23144,1661.6085205343036
23149,2226.094562897054
23155,1015.6844028322037
23185,1287.2226426386694
23209,1880.3167381297644
23211,1848.4241986718857
23213,1606.441080417605
