OBJECTID,road_dist_mean
20062,778.7910095414435
20068,937.975469266016
20102,91.4122290452732
7315,56.58595094657041
15635,129.12253649845013
16021,310.9675080631521
16958,126.73049950203402
335,118.18970577074501
519,0.0
520,0.0
521,0.0
890,943.5723264012969
932,70.41200179131212
1410,524.0685812555593
1460,184.38425010488788
1477,473.9110028992938
1482,216.21896102515015
1484,263.26836392484955
1510,126.72687850529762
1516,166.0611707270728
1529,110.75840596987287
1544,592.4604825188129
1559,49.0494186758074
1575,54.375242481895974
1596,115.92320620926752
1689,128.82854490866458
1725,149.04651264290138
2143,487.2331360729088
2189,527.7147938070592
2221,168.46168355185108
2244,185.33007589928263
2291,260.7175335839293
2300,268.76387833404397
2315,161.0932714826157
2325,527.6336845244007
2343,378.76241938156517
2376,310.09641342074804
2392,148.33193422547032
2400,181.14545021876674
2644,431.26982745200144
2741,292.6270259269247
2746,294.0081094499915
3131,226.4172539875999
3175,197.100230559439
3592,184.8627364939283
3695,220.99567556164956
3708,146.61583432938428
3741,110.27553990928166
3762,425.036138101183
3990,378.512525049713
4023,354.8333981589523
4108,113.942061216672
4133,182.01247859065327
4139,761.1859899367191
4149,1330.6609756097562
4152,67.73600366732259
4180,78.87150570209853
4389,380.310955777973
4454,174.00616713776677
4499,1043.6745979859395
4622,303.16678201964936
4650,452.05044338313405
4707,152.64680826303535
4712,107.14377251366246
4740,77.17565801754714
4975,157.10432759246103
4976,66.99995587581074
4997,437.7280853062886
5070,449.2393088043972
5137,272.978950494595
5199,489.41273026184564
5220,549.2779886196664
5230,391.46547098949964
5304,644.6450352150798
5347,101.71838453142053
5601,430.2517542315329
5656,0.0
5709,601.3517298187808
5817,586.941374871053
5873,197.47419378955627
5879,258.87618322337306
5881,665.6364432124874
5888,230.63878306461706
5889,101.49026120634592
5906,178.11246147123182
5911,96.10226170634483
5916,130.6092338397665
5919,116.29527713820404
5929,199.83060845181313
5940,56.119336748476414
6034,188.39872845175375
6047,98.44192131402633
6061,541.7407442981773
6098,232.15982897750064
6111,368.60183810687664
6114,194.09858516498647
6132,221.8653492450489
6193,128.5991071041567
6208,295.36390654773663
6211,311.73113629429895
6212,654.2008467004927
6347,231.66108115853427
6466,420.3901140510531
6476,440.7265997363354
6485,176.5342509138037
6508,101.08029064892078
6514,1585.4635152665576
6519,229.97252163865122
6522,268.17273283730555
6537,108.88239281628351
6585,133.81994282683337
6596,53.98892771550665
6631,208.33924540470815
6633,52.64860980644029
6851,209.01651403476782
6902,163.21866934361051
6907,179.44851968379584
6928,131.83844625775447
6930,126.71235898918053
6949,218.1504097853237
6968,607.7410499191961
6988,411.7052721212763
7247,135.36215600216408
7687,199.08909166839743
7827,158.05718796087672
8137,145.77369086200608
8156,82.03916834304363
8184,208.16538179582466
8315,108.96117727451973
8337,713.2756219035355
8415,232.30562007154532
8510,43.807725716365056
8525,382.8692423289718
8536,451.24686394563827
8568,384.77996518101435
8601,62.423003550335125
8758,220.1505022598369
8790,570.8846878291829
11488,275.2017283571746
11683,165.39544081909224
11686,365.06680776292234
11716,199.2860094249908
11804,519.3394066638591
11889,113.27718630883564
12032,636.9665470591602
12222,554.8130400940009
12396,208.23542384357367
12564,183.75424134396044
12598,567.7883187198337
12906,320.94237328563736
12942,32.96265928224913
13178,68.75580701069303
14536,52.68698263168524
14826,940.1841807106581
14840,177.4687620413111
15007,231.56100957758696
15562,275.620476653566
15584,92.71506355776103
15624,247.6634095245953
15691,238.20305146791412
15906,372.4086480148093
15982,313.56168851459245
15983,164.02037438594795
15998,142.20696451562836
16014,304.12236234165846
16266,132.56053073293506
16523,815.2397370740231
16820,327.6017511981879
17107,135.76244689993985
17342,81.6339226575796
17678,236.69929546560624
17724,76.53694948575016
17761,30.276723545053677
17982,287.4258173195194
4325,260.45749724111005
4417,425.3050522101522
4459,418.4622378115637
4487,64.36576007222659
87,585.1680893002725
105,266.1504086271235
150,176.7354597580859
282,93.42639122066905
603,618.7550910083777
633,349.0316020763455
938,137.60652544436329
1215,189.26987797260188
1268,222.7638002253097
1280,148.30564073308136
1803,457.1500916829962
1826,427.43802930616886
1900,91.62506670024179
2934,549.4789248849836
3033,203.70900221381527
3076,245.49957263034776
3096,314.56119854571125
3176,123.74124594617884
