OBJECTID,invasive_dist_mean
20062,745.6984195112686
20068,1418.631203390963
20102,400.6965709017352
7315,174.23239265288734
15635,108.35853077919543
16021,391.98888453477167
16958,473.4223994234323
335,2150.279044854946
519,4676.22225807904
520,4676.22225807904
521,4676.22225807904
890,4104.130020760786
932,2955.0417359826474
1410,4552.618091665249
1460,2357.0621179245195
1477,3618.7030875705295
1482,4887.515763864162
1484,3277.09699337268
1510,674.4718275442234
1516,284.15326600864984
1529,1638.0440387684175
1544,1959.0449746699178
1559,227.2367685292867
1575,4433.6016877614775
1596,476.25640611000387
1689,883.2973332711241
1725,345.93715519928224
2143,4031.586634155642
2189,5575.778261768809
2221,4471.04152535127
2244,994.1576544639952
2291,1073.2166233553287
2300,2216.4785263094764
2315,4614.029451902513
2325,1634.3412480719053
2343,1713.4762820099384
2376,10012.991092595068
2392,2903.5287283686853
2400,4528.069286560337
2644,5029.6456799683
2741,3218.7149423858677
2746,626.9454456759634
3131,2475.299043854259
3175,1738.4405577192622
3592,3428.181439414459
3695,5497.622645070093
3708,237.0652345539891
3741,7755.3051456102785
3762,3117.2510185433534
3990,1429.900332119107
4023,7041.346957007401
4108,5903.443055856693
4133,9199.680428686928
4139,7883.572679409698
4149,3745.688253226501
4152,1850.6963960289352
4180,1314.3588977825525
4389,3005.9870204457297
4454,2916.3657786324434
4499,4556.004429231316
4622,1862.2959279556621
4650,7902.994325185915
4707,9144.541614535101
4712,274.1022938601443
4740,1016.3564564804707
4975,1272.9113461784616
4976,1148.1212863997628
4997,2933.308948710858
5070,2330.0848176642735
5137,1089.9217700317058
5199,1805.993311167784
5220,2527.311542196166
5230,8921.543694209246
5304,5237.130603857206
5347,1400.8593837676779
5601,3357.4833538895095
5656,10091.074828153278
5709,5580.550646985604
5817,3392.4559784261755
5873,475.7713547618412
5879,4986.521052514418
5881,4446.3376303766545
5888,1008.6528105677082
5889,1455.9405637817222
5906,261.465785815808
5911,2000.4073932710241
5916,2215.2414033003724
5919,4675.850233893903
5929,1272.337397372767
5940,2891.591944778722
6034,740.396662831486
6047,671.5938927936535
6061,5384.132588891084
6098,738.7609858600267
6111,2746.782726516166
6114,1413.7801545637142
6132,8362.951142064905
6193,5221.532402036488
6208,3972.2592188964386
6211,140.10108774153082
6212,5068.0977861532565
6347,2999.0570954240416
6466,3331.4701245833426
6476,2974.0388596042512
6485,1415.7239443236585
6508,4699.800473401566
6514,5330.138727240554
6519,1164.7834361530865
6522,5567.272994184751
6537,633.2405322309583
6585,3646.6271166804554
6596,808.8820771688265
6631,3570.195117153889
6633,602.5205459184715
6851,727.9000911820692
6902,1337.2269899357002
6907,3734.1042376300834
6928,1868.056912003549
6930,3391.957318596887
6949,449.870987347665
6968,2185.692645375759
6988,1849.790882842396
7247,478.93676837629374
7687,1331.4827160677373
7827,355.08813336260545
8137,631.0936483138697
8156,1403.874541585101
8184,2199.4002372972614
8315,740.6404278324758
8337,2760.015899791808
8415,543.630688309465
8510,6766.910465101151
8525,1780.1352818179025
8536,1648.2963396637235
8568,4474.670570530788
8601,1112.0473396060036
8758,408.7498796869764
8790,568.895024464002
11488,4458.558858229054
11683,1331.9472087742151
11686,1707.9581265449715
11716,2236.1493764086877
11804,2341.826142070954
11889,911.2254914106918
12032,4511.028416872838
12222,4292.3925765262065
12396,5290.27271463292
12564,2169.223007301337
12598,1434.6327106657461
12906,868.5066507861736
12942,1835.3745771252695
13178,815.4856714577382
14536,1057.3033811560515
14826,3049.650575538736
14840,647.0630323139508
15007,731.5003527728772
15562,1040.010175345438
15584,518.5421037996952
15624,704.5453138839608
15691,4211.451194345693
15906,4568.943425147344
15982,2071.297201770359
15983,333.0260173811759
15998,170.8495883540916
16014,1007.5344614855579
16266,882.9113664345764
16523,1507.5705820163432
16820,1690.1433773562933
17107,1245.1901771966002
17342,582.476164781899
17678,3965.023725601874
17724,678.975614099027
17761,1491.23383512649
17982,2610.7930007555838
4325,9809.760076646498
4417,1975.256264260334
4459,991.2193615948377
4487,7773.645825677358
87,6963.010734627945
105,383.28508003352636
150,3562.1644884975663
282,2735.6541155981577
603,7063.190216061475
633,1949.2803914350907
938,2271.386808530196
1215,574.3002030941697
1268,8972.835151689835
1280,4879.735282069417
1803,1805.2503073242517
1826,2614.218705071483
1900,4348.762382808633
2934,7972.750007256131
3033,8718.506140347386
3076,2832.1377462757964
3096,6585.575264154999
3176,8350.783840058284
4889,1524.3742120596507
4939,9937.183310142924
4966,3703.028218315479
6728,3648.562622315842
6849,8121.431081072076
6857,2227.378845045356
6954,2553.0277607886
6964,4767.409723233858
2228,6540.693621563045
3817,11600.093869256136
3823,7940.274942440539
3918,2726.1652502159595
4413,6998.321506881076
4423,7201.418229862932
4582,7736.7874390504885
5331,14074.131297948166
5591,6506.848980689016
5607,9976.58137786571
5862,4278.97363443716
8508,14342.8989179631
11026,650.4979554437768
11275,7284.883928374485
11643,5977.692458219431
13717,3620.5433815478104
13720,3632.1844023410736
15729,16966.928854784815
16129,3882.071304402873
16224,5881.721308495248
18756,4516.22292030335
19346,4993.418582007964
19910,3182.0201129903758
20098,5836.259062592786
20244,1870.6546544334994
20994,7748.155222875693
21071,16113.863304889423
21150,2903.2674070210346
21661,2500.9767171349413
22050,8111.487130054073
22078,5491.583661333473
22146,7735.586264456991
22203,2880.9680164762167
22305,2495.562364707297
22319,3726.3091896305605
22434,4378.299763031308
6933,2347.041067726765
8028,3334.9589278969643
646,5128.1369600039125
1360,5830.059303241494
2691,8543.131209693072
2764,5457.878984020833
2927,4248.3087592105885
4820,10075.06410536175
6280,7599.446305381429
6283,3647.6481846839597
6367,10508.792037086392
6991,6585.874168236706
7047,3630.722403923912
7551,1692.7863520299884
7868,4557.247826181473
7902,10138.120644806579
7987,8002.330921956411
8527,2356.3942652860455
8618,12842.778436462528
8801,9260.588548654803
9886,770.4604685113943
11039,2804.4953329658742
11413,9133.283789569234
11571,7033.113556790681
11615,10279.132833902433
13830,7098.88660058672
15386,4926.751929842532
16107,5934.166822383865
16223,9103.464489867325
16368,6383.521001168184
17047,2444.451344048015
17211,1366.120076064968
17592,8167.987184737445
17756,4037.312950363229
18022,8138.931752353667
18089,4741.772817711371
18127,5084.08951508643
18164,6888.631808160745
18175,5750.415421914756
18203,331.7786853932839
18277,7994.259435350103
18461,11664.303533085033
19274,5705.988608678736
19275,5719.204441238988
19534,5606.512928137286
19769,3203.811384624512
20081,2771.0439516873016
20123,11889.407359608525
20146,2823.4875091214353
20489,5517.3156146977535
20567,6047.106504260514
20615,6242.3709812340885
20716,5228.953924175353
20819,5038.728033042983
20830,5712.622469459972
20869,5459.714183369066
21081,6815.6460800261975
21134,2500.6058009877743
21144,1537.7871874343548
21173,12311.222199310376
21217,9316.63071119919
21222,6016.2756095967
21261,5175.6389673701215
21262,5122.1937176668225
21267,4000.887353574178
21399,5730.378021931925
21875,4485.705653819321
21892,3780.0321943186163
21894,6276.436182100264
21901,2670.671935145629
22107,1307.975316621637
22168,2165.6997767507046
22233,10777.708033236519
22262,5354.713350044616
22463,7047.243483658213
22799,961.4960003558124
22814,4266.885645781752
22942,11286.118102600121
23102,7949.141441752287
23109,8185.584250812262
23121,5039.144886435336
23132,6607.572939724903
23135,2947.2934833262975
23142,9922.440399834113
23144,8595.660172150681
23149,7242.073806487107
23155,5375.666244432602
23185,2307.143999500901
23209,1401.8553846141251
23211,4342.183352824361
23213,11427.571584575717
